id,city,year,weekofyear,total_cases
381,sj,1997,35,40
382,sj,1997,36,43
383,sj,1997,37,44
384,sj,1997,38,43
385,sj,1997,39,38
386,sj,1997,40,40
387,sj,1997,41,39
388,sj,1997,42,42
389,sj,1997,43,31
390,sj,1997,44,36
391,sj,1997,45,36
392,sj,1997,46,33
393,sj,1997,47,36
394,sj,1997,48,35
395,sj,1997,49,33
396,sj,1997,50,31
397,sj,1997,51,32
398,sj,1997,52,31
399,sj,1998,1,31
400,sj,1998,2,28
401,sj,1998,3,24
402,sj,1998,4,24
403,sj,1998,5,27
404,sj,1998,6,25
405,sj,1998,7,30
406,sj,1998,8,20
407,sj,1998,9,27
408,sj,1998,10,21
409,sj,1998,11,24
410,sj,1998,12,20
411,sj,1998,13,25
412,sj,1998,14,25
413,sj,1998,15,20
414,sj,1998,16,29
415,sj,1998,17,25
416,sj,1998,18,30
417,sj,1998,19,30
418,sj,1998,20,28
419,sj,1998,21,39
420,sj,1998,22,39
421,sj,1998,23,35
422,sj,1998,24,42
423,sj,1998,25,39
424,sj,1998,26,41
425,sj,1998,27,40
426,sj,1998,28,42
427,sj,1998,29,37
428,sj,1998,30,38
429,sj,1998,31,44
430,sj,1998,32,38
431,sj,1998,33,47
432,sj,1998,34,47
433,sj,1998,35,43
434,sj,1998,36,44
435,sj,1998,37,43
436,sj,1998,38,44
437,sj,1998,39,40
438,sj,1998,40,41
439,sj,1998,41,41
440,sj,1998,42,40
441,sj,1998,43,42
442,sj,1998,44,38
443,sj,1998,45,41
444,sj,1998,46,37
445,sj,1998,47,37
446,sj,1998,48,31
447,sj,1998,49,31
448,sj,1998,50,32
449,sj,1998,51,29
450,sj,1998,52,28
451,sj,1999,53,28
452,sj,1999,1,26
453,sj,1999,2,26
454,sj,1999,3,21
455,sj,1999,4,21
456,sj,1999,5,22
457,sj,1999,6,19
458,sj,1999,7,18
459,sj,1999,8,17
460,sj,1999,9,19
461,sj,1999,10,21
462,sj,1999,11,19
463,sj,1999,12,22
464,sj,1999,13,23
465,sj,1999,14,23
466,sj,1999,15,21
467,sj,1999,16,26
468,sj,1999,17,28
469,sj,1999,18,36
470,sj,1999,19,32
471,sj,1999,20,32
472,sj,1999,21,38
473,sj,1999,22,38
474,sj,1999,23,39
475,sj,1999,24,39
476,sj,1999,25,38
477,sj,1999,26,38
478,sj,1999,27,35
479,sj,1999,28,35
480,sj,1999,29,38
481,sj,1999,30,37
482,sj,1999,31,43
483,sj,1999,32,40
484,sj,1999,33,43
485,sj,1999,34,40
486,sj,1999,35,43
487,sj,1999,36,41
488,sj,1999,37,45
489,sj,1999,38,40
490,sj,1999,39,45
491,sj,1999,40,38
492,sj,1999,41,37
493,sj,1999,42,37
494,sj,1999,43,41
495,sj,1999,44,37
496,sj,1999,45,34
497,sj,1999,46,36
498,sj,1999,47,35
499,sj,1999,48,25
500,sj,1999,49,27
501,sj,1999,50,25
502,sj,1999,51,21
503,sj,2000,52,26
504,sj,2000,1,25
505,sj,2000,2,22
506,sj,2000,3,18
507,sj,2000,4,14
508,sj,2000,5,20
509,sj,2000,6,19
510,sj,2000,7,20
511,sj,2000,8,19
512,sj,2000,9,19
513,sj,2000,10,21
514,sj,2000,11,19
515,sj,2000,12,20
516,sj,2000,13,16
517,sj,2000,14,23
518,sj,2000,15,20
519,sj,2000,16,23
520,sj,2000,17,25
521,sj,2000,18,30
522,sj,2000,19,27
523,sj,2000,20,27
524,sj,2000,21,25
525,sj,2000,22,31
526,sj,2000,23,33
527,sj,2000,24,34
528,sj,2000,25,33
529,sj,2000,26,34
530,sj,2000,27,36
531,sj,2000,28,36
532,sj,2000,29,36
533,sj,2000,30,35
534,sj,2000,31,38
535,sj,2000,32,40
536,sj,2000,33,41
537,sj,2000,34,38
538,sj,2000,35,38
539,sj,2000,36,39
540,sj,2000,37,41
541,sj,2000,38,35
542,sj,2000,39,39
543,sj,2000,40,40
544,sj,2000,41,37
545,sj,2000,42,38
546,sj,2000,43,35
547,sj,2000,44,39
548,sj,2000,45,28
549,sj,2000,46,28
550,sj,2000,47,33
551,sj,2000,48,32
552,sj,2000,49,32
553,sj,2000,50,27
554,sj,2000,51,26
555,sj,2001,1,23
556,sj,2001,2,22
557,sj,2001,3,21
558,sj,2001,4,21
559,sj,2001,5,20
560,sj,2001,6,22
561,sj,2001,7,21
562,sj,2001,8,21
563,sj,2001,9,20
564,sj,2001,10,17
565,sj,2001,11,22
566,sj,2001,12,25
567,sj,2001,13,23
568,sj,2001,14,28
569,sj,2001,15,25
570,sj,2001,16,24
571,sj,2001,17,29
572,sj,2001,18,27
573,sj,2001,19,33
574,sj,2001,20,35
575,sj,2001,21,37
576,sj,2001,22,36
577,sj,2001,23,37
578,sj,2001,24,39
579,sj,2001,25,34
580,sj,2001,26,41
581,sj,2001,27,37
582,sj,2001,28,38
583,sj,2001,29,38
584,sj,2001,30,41
585,sj,2001,31,39
586,sj,2001,32,41
587,sj,2001,33,42
588,sj,2001,34,45
589,sj,2001,35,41
590,sj,2001,36,40
591,sj,2001,37,38
592,sj,2001,38,40
593,sj,2001,39,39
594,sj,2001,40,45
595,sj,2001,41,45
596,sj,2001,42,36
597,sj,2001,43,39
598,sj,2001,44,38
599,sj,2001,45,32
600,sj,2001,46,35
601,sj,2001,47,25
602,sj,2001,48,28
603,sj,2001,49,23
604,sj,2001,50,32
605,sj,2001,51,31
606,sj,2001,52,27
607,sj,2002,1,24
608,sj,2002,2,25
609,sj,2002,3,24
610,sj,2002,4,25
611,sj,2002,5,22
612,sj,2002,6,22
613,sj,2002,7,22
614,sj,2002,8,23
615,sj,2002,9,22
616,sj,2002,10,20
617,sj,2002,11,24
618,sj,2002,12,23
619,sj,2002,13,25
620,sj,2002,14,23
621,sj,2002,15,29
622,sj,2002,16,23
623,sj,2002,17,25
624,sj,2002,18,30
625,sj,2002,19,28
626,sj,2002,20,27
627,sj,2002,21,33
628,sj,2002,22,34
629,sj,2002,23,37
630,sj,2002,24,37
631,sj,2002,25,40
632,sj,2002,26,34
633,sj,2002,27,36
634,sj,2002,28,37
635,sj,2002,29,38
636,sj,2002,30,37
637,sj,2002,31,41
638,sj,2002,32,36
639,sj,2002,33,42
640,sj,2002,34,40
641,sj,2002,35,41
642,sj,2002,36,39
643,sj,2002,37,41
644,sj,2002,38,45
645,sj,2002,39,39
646,sj,2002,40,41
647,sj,2002,41,40
648,sj,2002,42,37
649,sj,2002,43,41
650,sj,2002,44,38
651,sj,2002,45,34
652,sj,2002,46,33
653,sj,2002,47,37
654,sj,2002,48,33
655,sj,2002,49,30
656,sj,2002,50,31
657,sj,2002,51,26
658,sj,2002,52,24
659,sj,2003,1,23
660,sj,2003,2,25
661,sj,2003,3,21
662,sj,2003,4,23
663,sj,2003,5,23
664,sj,2003,6,23
665,sj,2003,7,24
666,sj,2003,8,24
667,sj,2003,9,24
668,sj,2003,10,22
669,sj,2003,11,26
670,sj,2003,12,27
671,sj,2003,13,25
672,sj,2003,14,28
673,sj,2003,15,27
674,sj,2003,16,28
675,sj,2003,17,29
676,sj,2003,18,27
677,sj,2003,19,33
678,sj,2003,20,29
679,sj,2003,21,33
680,sj,2003,22,32
681,sj,2003,23,33
682,sj,2003,24,33
683,sj,2003,25,33
684,sj,2003,26,35
685,sj,2003,27,37
686,sj,2003,28,38
687,sj,2003,29,34
688,sj,2003,30,38
689,sj,2003,31,38
690,sj,2003,32,37
691,sj,2003,33,39
692,sj,2003,34,41
693,sj,2003,35,41
694,sj,2003,36,40
695,sj,2003,37,39
696,sj,2003,38,39
697,sj,2003,39,40
698,sj,2003,40,41
699,sj,2003,41,39
700,sj,2003,42,38
701,sj,2003,43,40
702,sj,2003,44,37
703,sj,2003,45,35
704,sj,2003,46,40
705,sj,2003,47,37
706,sj,2003,48,29
707,sj,2003,49,28
708,sj,2003,50,30
709,sj,2003,51,27
710,sj,2003,52,27
711,sj,2004,1,27
712,sj,2004,2,24
713,sj,2004,3,20
714,sj,2004,4,15
715,sj,2004,5,22
716,sj,2004,6,18
717,sj,2004,7,22
718,sj,2004,8,21
719,sj,2004,9,14
720,sj,2004,10,20
721,sj,2004,11,23
722,sj,2004,12,23
723,sj,2004,13,23
724,sj,2004,14,20
725,sj,2004,15,18
726,sj,2004,16,24
727,sj,2004,17,26
728,sj,2004,18,26
729,sj,2004,19,28
730,sj,2004,20,29
731,sj,2004,21,29
732,sj,2004,22,27
733,sj,2004,23,36
734,sj,2004,24,38
735,sj,2004,25,37
736,sj,2004,26,36
737,sj,2004,27,39
738,sj,2004,28,39
739,sj,2004,29,39
740,sj,2004,30,39
741,sj,2004,31,39
742,sj,2004,32,40
743,sj,2004,33,40
744,sj,2004,34,43
745,sj,2004,35,41
746,sj,2004,36,41
747,sj,2004,37,45
748,sj,2004,38,42
749,sj,2004,39,42
750,sj,2004,40,40
751,sj,2004,41,42
752,sj,2004,42,39
753,sj,2004,43,39
754,sj,2004,44,34
755,sj,2004,45,32
756,sj,2004,46,35
757,sj,2004,47,34
758,sj,2004,48,29
759,sj,2004,49,27
760,sj,2004,50,21
761,sj,2004,51,28
762,sj,2004,52,27
763,sj,2005,53,27
764,sj,2005,1,23
765,sj,2005,2,24
766,sj,2005,3,22
767,sj,2005,4,19
768,sj,2005,5,17
769,sj,2005,6,16
770,sj,2005,7,15
771,sj,2005,8,20
772,sj,2005,9,20
773,sj,2005,10,23
774,sj,2005,11,23
775,sj,2005,12,23
776,sj,2005,13,29
777,sj,2005,14,29
778,sj,2005,15,29
779,sj,2005,16,34
780,sj,2005,17,31
781,sj,2005,18,33
782,sj,2005,19,34
783,sj,2005,20,34
784,sj,2005,21,39
785,sj,2005,22,43
786,sj,2005,23,43
787,sj,2005,24,36
788,sj,2005,25,46
789,sj,2005,26,45
790,sj,2005,27,45
791,sj,2005,28,43
792,sj,2005,29,42
793,sj,2005,30,43
794,sj,2005,31,47
795,sj,2005,32,46
796,sj,2005,33,46
797,sj,2005,34,41
798,sj,2005,35,43
799,sj,2005,36,42
800,sj,2005,37,49
801,sj,2005,38,42
802,sj,2005,39,40
803,sj,2005,40,43
804,sj,2005,41,34
805,sj,2005,42,37
806,sj,2005,43,43
807,sj,2005,44,40
808,sj,2005,45,40
809,sj,2005,46,40
810,sj,2005,47,32
811,sj,2005,48,32
812,sj,2005,49,24
813,sj,2005,50,26
814,sj,2005,51,20
815,sj,2006,52,27
816,sj,2006,1,22
817,sj,2006,2,19
818,sj,2006,3,23
819,sj,2006,4,22
820,sj,2006,5,17
821,sj,2006,6,19
822,sj,2006,7,17
823,sj,2006,8,22
824,sj,2006,9,19
825,sj,2006,10,21
826,sj,2006,11,23
827,sj,2006,12,21
828,sj,2006,13,25
829,sj,2006,14,21
830,sj,2006,15,25
831,sj,2006,16,27
832,sj,2006,17,24
833,sj,2006,18,24
834,sj,2006,19,25
835,sj,2006,20,36
836,sj,2006,21,39
837,sj,2006,22,36
838,sj,2006,23,39
839,sj,2006,24,42
840,sj,2006,25,40
841,sj,2006,26,40
842,sj,2006,27,40
843,sj,2006,28,38
844,sj,2006,29,38
845,sj,2006,30,39
846,sj,2006,31,40
847,sj,2006,32,38
848,sj,2006,33,40
849,sj,2006,34,40
850,sj,2006,35,40
851,sj,2006,36,41
852,sj,2006,37,39
853,sj,2006,38,41
854,sj,2006,39,41
855,sj,2006,40,41
856,sj,2006,41,43
857,sj,2006,42,42
858,sj,2006,43,41
859,sj,2006,44,44
860,sj,2006,45,38
861,sj,2006,46,33
862,sj,2006,47,29
863,sj,2006,48,36
864,sj,2006,49,31
865,sj,2006,50,32
866,sj,2006,51,27
867,sj,2007,1,24
868,sj,2007,2,23
869,sj,2007,3,22
870,sj,2007,4,22
871,sj,2007,5,18
872,sj,2007,6,22
873,sj,2007,7,23
874,sj,2007,8,23
875,sj,2007,9,22
876,sj,2007,10,27
877,sj,2007,11,24
878,sj,2007,12,27
879,sj,2007,13,30
880,sj,2007,14,26
881,sj,2007,15,26
882,sj,2007,16,30
883,sj,2007,17,30
884,sj,2007,18,28
885,sj,2007,19,34
886,sj,2007,20,39
887,sj,2007,21,38
888,sj,2007,22,35
889,sj,2007,23,40
890,sj,2007,24,40
891,sj,2007,25,38
892,sj,2007,26,40
893,sj,2007,27,40
894,sj,2007,28,40
895,sj,2007,29,38
896,sj,2007,30,41
897,sj,2007,31,40
898,sj,2007,32,41
899,sj,2007,33,41
900,sj,2007,34,41
901,sj,2007,35,40
902,sj,2007,36,40
903,sj,2007,37,41
904,sj,2007,38,40
905,sj,2007,39,39
906,sj,2007,40,41
907,sj,2007,41,40
908,sj,2007,42,42
909,sj,2007,43,38
910,sj,2007,44,36
911,sj,2007,45,35
912,sj,2007,46,29
913,sj,2007,47,34
914,sj,2007,48,26
915,sj,2007,49,30
916,sj,2007,50,28
917,sj,2007,51,24
918,sj,2007,52,20
919,sj,2008,1,24
920,sj,2008,2,23
921,sj,2008,3,16
922,sj,2008,4,21
923,sj,2008,5,16
924,sj,2008,6,22
925,sj,2008,7,22
926,sj,2008,8,21
927,sj,2008,9,18
928,sj,2008,10,20
929,sj,2008,11,24
930,sj,2008,12,21
931,sj,2008,13,20
932,sj,2008,14,25
933,sj,2008,15,22
934,sj,2008,16,23
935,sj,2008,17,28
936,iq,2000,26,-4
937,iq,2000,27,-8
938,iq,2000,28,9
939,iq,2000,29,-1
940,iq,2000,30,1
941,iq,2000,31,-7
942,iq,2000,32,-4
943,iq,2000,33,-10
944,iq,2000,34,-1
945,iq,2000,35,-2
946,iq,2000,36,12
947,iq,2000,37,1
948,iq,2000,38,-2
949,iq,2000,39,-6
950,iq,2000,40,-11
951,iq,2000,41,-5
952,iq,2000,42,-6
953,iq,2000,43,1
954,iq,2000,44,5
955,iq,2000,45,15
956,iq,2000,46,19
957,iq,2000,47,13
958,iq,2000,48,-6
959,iq,2000,49,13
960,iq,2000,50,-2
961,iq,2000,51,13
962,iq,2001,1,14
963,iq,2001,2,2
964,iq,2001,3,-2
965,iq,2001,4,6
966,iq,2001,5,9
967,iq,2001,6,13
968,iq,2001,7,3
969,iq,2001,8,4
970,iq,2001,9,6
971,iq,2001,10,16
972,iq,2001,11,9
973,iq,2001,12,12
974,iq,2001,13,23
975,iq,2001,14,3
976,iq,2001,15,7
977,iq,2001,16,12
978,iq,2001,17,10
979,iq,2001,18,9
980,iq,2001,19,7
981,iq,2001,20,15
982,iq,2001,21,11
983,iq,2001,22,4
984,iq,2001,23,2
985,iq,2001,24,8
986,iq,2001,25,-4
987,iq,2001,26,-3
988,iq,2001,27,-1
989,iq,2001,28,-1
990,iq,2001,29,-3
991,iq,2001,30,1
992,iq,2001,31,-14
993,iq,2001,32,-3
994,iq,2001,33,2
995,iq,2001,34,2
996,iq,2001,35,-3
997,iq,2001,36,-5
998,iq,2001,37,-2
999,iq,2001,38,4
1000,iq,2001,39,-11
1001,iq,2001,40,9
1002,iq,2001,41,5
1003,iq,2001,42,-1
1004,iq,2001,43,12
1005,iq,2001,44,8
1006,iq,2001,45,12
1007,iq,2001,46,11
1008,iq,2001,47,12
1009,iq,2001,48,16
1010,iq,2001,49,16
1011,iq,2001,50,14
1012,iq,2001,51,18
1013,iq,2001,52,19
1014,iq,2002,1,18
1015,iq,2002,2,15
1016,iq,2002,3,11
1017,iq,2002,4,13
1018,iq,2002,5,10
1019,iq,2002,6,10
1020,iq,2002,7,10
1021,iq,2002,8,8
1022,iq,2002,9,17
1023,iq,2002,10,15
1024,iq,2002,11,0
1025,iq,2002,12,11
1026,iq,2002,13,16
1027,iq,2002,14,21
1028,iq,2002,15,18
1029,iq,2002,16,13
1030,iq,2002,17,12
1031,iq,2002,18,9
1032,iq,2002,19,12
1033,iq,2002,20,16
1034,iq,2002,21,2
1035,iq,2002,22,5
1036,iq,2002,23,9
1037,iq,2002,24,2
1038,iq,2002,25,1
1039,iq,2002,26,-1
1040,iq,2002,27,5
1041,iq,2002,28,-2
1042,iq,2002,29,-8
1043,iq,2002,30,-7
1044,iq,2002,31,-2
1045,iq,2002,32,-13
1046,iq,2002,33,7
1047,iq,2002,34,8
1048,iq,2002,35,-3
1049,iq,2002,36,7
1050,iq,2002,37,2
1051,iq,2002,38,17
1052,iq,2002,39,-2
1053,iq,2002,40,7
1054,iq,2002,41,1
1055,iq,2002,42,5
1056,iq,2002,43,13
1057,iq,2002,44,8
1058,iq,2002,45,18
1059,iq,2002,46,18
1060,iq,2002,47,10
1061,iq,2002,48,5
1062,iq,2002,49,13
1063,iq,2002,50,14
1064,iq,2002,51,14
1065,iq,2002,52,11
1066,iq,2003,1,8
1067,iq,2003,2,4
1068,iq,2003,3,2
1069,iq,2003,4,2
1070,iq,2003,5,16
1071,iq,2003,6,9
1072,iq,2003,7,7
1073,iq,2003,8,1
1074,iq,2003,9,19
1075,iq,2003,10,13
1076,iq,2003,11,13
1077,iq,2003,12,20
1078,iq,2003,13,15
1079,iq,2003,14,6
1080,iq,2003,15,21
1081,iq,2003,16,16
1082,iq,2003,17,9
1083,iq,2003,18,21
1084,iq,2003,19,5
1085,iq,2003,20,14
1086,iq,2003,21,7
1087,iq,2003,22,10
1088,iq,2003,23,10
1089,iq,2003,24,13
1090,iq,2003,25,8
1091,iq,2003,26,5
1092,iq,2003,27,4
1093,iq,2003,28,-2
1094,iq,2003,29,-6
1095,iq,2003,30,-9
1096,iq,2003,31,-5
1097,iq,2003,32,7
1098,iq,2003,33,6
1099,iq,2003,34,1
1100,iq,2003,35,-5
1101,iq,2003,36,3
1102,iq,2003,37,3
1103,iq,2003,38,9
1104,iq,2003,39,11
1105,iq,2003,40,17
1106,iq,2003,41,-5
1107,iq,2003,42,13
1108,iq,2003,43,7
1109,iq,2003,44,16
1110,iq,2003,45,0
1111,iq,2003,46,-2
1112,iq,2003,47,12
1113,iq,2003,48,30
1114,iq,2003,49,12
1115,iq,2003,50,17
1116,iq,2003,51,13
1117,iq,2003,52,18
1118,iq,2004,1,18
1119,iq,2004,2,12
1120,iq,2004,3,18
1121,iq,2004,4,13
1122,iq,2004,5,12
1123,iq,2004,6,9
1124,iq,2004,7,12
1125,iq,2004,8,-3
1126,iq,2004,9,8
1127,iq,2004,10,9
1128,iq,2004,11,19
1129,iq,2004,12,6
1130,iq,2004,13,21
1131,iq,2004,14,17
1132,iq,2004,15,17
1133,iq,2004,16,8
1134,iq,2004,17,22
1135,iq,2004,18,22
1136,iq,2004,19,8
1137,iq,2004,20,13
1138,iq,2004,21,-1
1139,iq,2004,22,6
1140,iq,2004,23,10
1141,iq,2004,24,13
1142,iq,2004,25,0
1143,iq,2004,26,-8
1144,iq,2004,27,-4
1145,iq,2004,28,-4
1146,iq,2004,29,-3
